phrase,frequency,seed_word,Volume,source_type,word_count,phrase_length,has_question_word,has_best_or_top,is_question_like,query_type,cluster_id_A,cluster_size,is_noise,cluster_label_B,cluster_id_B,direction_keyword
area code 214 location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
area code 215 location,1,code,8100,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
area code 216 location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
area code 225,1,code,8100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
area code 229,1,code,8100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
area code 239,1,code,12100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
area code 262,1,code,9900,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
area code 276,1,code,6600,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
area code 281,1,code,14800,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
area code 302,1,code,14800,keyword_tool,3,13,False,False,False,normal,42,502,False,-1,code_B-1,code
area code 304,1,code,9900,keyword_tool,3,13,False,False,False,normal,42,502,False,-1,code_B-1,code
area code 309,1,code,6600,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
area code 310,1,code,18100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
