phrase,frequency,seed_word,Volume,source_type,word_count,phrase_length,has_question_word,has_best_or_top,is_question_like,query_type,cluster_id_A,cluster_size,is_noise
661 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
661 area code in california,1,code,22200,keyword_tool,5,27,False,False,False,normal,42,502,False
661 area code location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False
662 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
667 area code,1,code,27100,keyword_tool,3,13,False,False,False,normal,42,502,False
678 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False
681 area code,1,code,22200,keyword_tool,3,13,False,False,False,normal,42,502,False
682 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
7 figures,1,figure,6600,keyword_tool,2,9,False,False,False,normal,-1,3786,True
70 pine street building,1,builder,6600,keyword_tool,4,23,False,False,False,normal,-1,3786,True
702 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False
702 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False
703 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
706 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
707 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False
707 california area code,1,code,5400,keyword_tool,4,24,False,False,False,normal,42,502,False
70th birthday ideas,1,ideas,5400,keyword_tool,3,19,False,False,False,normal,60,37,False
713 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
713 area code location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False
713 telephone area code,1,code,6600,keyword_tool,4,23,False,False,False,normal,42,502,False
715 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
716 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
717 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
719 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
720 telephone area code,1,code,27100,keyword_tool,4,23,False,False,False,normal,42,502,False
724 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
725 phone code,1,code,6600,keyword_tool,3,14,False,False,False,normal,42,502,False
727 area code location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False
737 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,-1,3786,True
740 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
747 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,-1,3786,True
754 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
760 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False
762 area code,1,code,33100,keyword_tool,3,13,False,False,False,normal,42,502,False
765 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
769 area code,1,code,18100,keyword_tool,3,13,False,False,False,normal,42,502,False
773 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
774 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
779 area code,1,code,27100,keyword_tool,3,13,False,False,False,normal,42,502,False
781 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
80's songs,1,song,5400,keyword_tool,2,10,False,False,False,normal,33,13,False
803 area code location,1,code,8100,keyword_tool,4,22,False,False,False,normal,42,502,False
804 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
804 area code location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False
806 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
808 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
80s style,1,style,8100,keyword_tool,2,9,False,False,False,normal,33,13,False
812 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
813 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False
813 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False
815 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
818 area code location,1,code,9900,keyword_tool,4,22,False,False,False,normal,42,502,False
830 area code,1,code,33100,keyword_tool,3,13,False,False,False,normal,42,502,False
832 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False
832 telephone area code,1,code,6600,keyword_tool,4,23,False,False,False,normal,42,502,False
833 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False
843 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
844 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
844 telephone code,1,code,9900,keyword_tool,3,18,False,False,False,normal,42,502,False
845 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
845 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False
845 phone code,1,code,14800,keyword_tool,3,14,False,False,False,normal,42,502,False
847 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
848 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False
855 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
857 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
857 area code massachusetts,1,code,8100,keyword_tool,4,27,False,False,False,normal,42,502,False
858 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
859 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
860 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
862 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
864 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
865 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
866 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
866 area code location,1,code,8100,keyword_tool,4,22,False,False,False,normal,42,502,False
870 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
872 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
8mb video,1,video,14800,keyword_tool,2,9,False,False,False,normal,-1,3786,True
90210 zip code,1,code,9900,keyword_tool,3,14,False,False,False,normal,-1,3786,True
903 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
903 area code location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False
903 phone code,1,code,5400,keyword_tool,3,14,False,False,False,normal,42,502,False
904 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False
904 area code location,1,code,8100,keyword_tool,4,22,False,False,False,normal,42,502,False
907 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False
90837 cpt code,1,code,5400,keyword_tool,3,14,False,False,False,normal,-1,3786,True
90s rock songs,1,song,5400,keyword_tool,3,14,False,False,False,normal,33,13,False
912 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
913 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
914 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
916 area code in california,1,code,9900,keyword_tool,5,27,False,False,False,normal,42,502,False
917 area code location,1,code,9900,keyword_tool,4,22,False,False,False,normal,42,502,False
919 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False
920 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
928 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
928 area code location,1,code,8100,keyword_tool,4,22,False,False,False,normal,42,502,False
929 area code,1,code,201000,keyword_tool,3,13,False,False,False,normal,42,502,False
929 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False
931 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
936 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False
937 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
939 area code,1,code,22200,keyword_tool,3,13,False,False,False,normal,42,502,False
941 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
949 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False
949 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False
951 area code,1,code,165000,keyword_tool,3,13,False,False,False,normal,42,502,False
951 area code ca,1,code,5400,keyword_tool,4,16,False,False,False,normal,42,502,False
951 area code location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False
954 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False
954 area code in florida,1,code,6600,keyword_tool,5,24,False,False,False,normal,42,502,False
954 what area code,1,code,14800,keyword_tool,4,18,True,False,True,question,42,502,False
959 area code,1,code,33100,keyword_tool,3,13,False,False,False,normal,42,502,False
970 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
971 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
972 area code location,1,code,8100,keyword_tool,4,22,False,False,False,normal,42,502,False
972 telephone area code,1,code,6600,keyword_tool,4,23,False,False,False,normal,42,502,False
973 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
978 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
979 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False
980 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
984 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False
985 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False
